time_step,mean_nRMSE,publication_net
22,0.15489212,Conv;34;10;relu
23,0.16607675,Conv;34;10;relu
24,0.17591767,Conv;34;10;relu
25,0.18321107,Conv;34;10;relu
26,0.19000417,Conv;34;10;relu
27,0.19972129,Conv;34;10;relu
28,0.21254878,Conv;34;10;relu
29,0.226069,Conv;34;10;relu
30,0.23876864,Conv;34;10;relu
31,0.25254145,Conv;34;10;relu
32,0.26760462,Conv;34;10;relu
33,0.28223482,Conv;34;10;relu
34,0.29699668,Conv;34;10;relu
35,0.31334233,Conv;34;10;relu
36,0.33115542,Conv;34;10;relu
37,0.34912714,Conv;34;10;relu
38,0.3665381,Conv;34;10;relu
39,0.38346392,Conv;34;10;relu
40,0.4008351,Conv;34;10;relu
41,0.419171,Conv;34;10;relu
42,0.43854824,Conv;34;10;relu
43,0.458621,Conv;34;10;relu
44,0.47972864,Conv;34;10;relu
45,0.50279206,Conv;34;10;relu
46,0.52915883,Conv;34;10;relu
47,0.5564615,Conv;34;10;relu
48,0.582099,Conv;34;10;relu
49,0.6046321,Conv;34;10;relu
50,0.62341225,Conv;34;10;relu
51,0.63900876,Conv;34;10;relu
52,0.65311104,Conv;34;10;relu
53,0.66713184,Conv;34;10;relu
54,0.6816068,Conv;34;10;relu
55,0.69665575,Conv;34;10;relu
56,0.71241456,Conv;34;10;relu
57,0.7292444,Conv;34;10;relu
58,0.74682295,Conv;34;10;relu
59,0.7651192,Conv;34;10;relu
60,0.7839973,Conv;34;10;relu
61,0.80418104,Conv;34;10;relu
62,0.8250262,Conv;34;10;relu
63,0.8442872,Conv;34;10;relu
64,0.8605454,Conv;34;10;relu
65,0.87528324,Conv;34;10;relu
66,0.8914614,Conv;34;10;relu
67,0.90991765,Conv;34;10;relu
68,0.93078357,Conv;34;10;relu
69,0.9539423,Conv;34;10;relu
70,0.97845346,Conv;34;10;relu
71,1.001607,Conv;34;10;relu
72,1.020736,Conv;34;10;relu
73,1.0354321,Conv;34;10;relu
74,1.0469975,Conv;34;10;relu
75,1.0579737,Conv;34;10;relu
76,1.0700436,Conv;34;10;relu
77,1.0830659,Conv;34;10;relu
78,1.0948044,Conv;34;10;relu
79,1.1037705,Conv;34;10;relu
80,1.1114528,Conv;34;10;relu
81,1.119882,Conv;34;10;relu
82,1.1284488,Conv;34;10;relu
83,1.1358906,Conv;34;10;relu
84,1.1418011,Conv;34;10;relu
85,1.1466343,Conv;34;10;relu
86,1.1507694,Conv;34;10;relu
87,1.154638,Conv;34;10;relu
88,1.1585944,Conv;34;10;relu
89,1.162467,Conv;34;10;relu
90,1.1659236,Conv;34;10;relu
91,1.1701442,Conv;34;10;relu
92,1.177175,Conv;34;10;relu
93,1.188106,Conv;34;10;relu
94,1.202582,Conv;34;10;relu
95,1.218931,Conv;34;10;relu
96,1.2345507,Conv;34;10;relu
97,1.2472807,Conv;34;10;relu
98,1.2567129,Conv;34;10;relu
99,1.2638793,Conv;34;10;relu
100,1.2704471,Conv;34;10;relu
101,1.2776136,Conv;34;10;relu
102,1.2852111,Conv;34;10;relu
103,1.2927078,Conv;34;10;relu
104,1.3001946,Conv;34;10;relu
105,1.3076365,Conv;34;10;relu
106,1.3148713,Conv;34;10;relu
107,1.3213135,Conv;34;10;relu
108,1.3278419,Conv;34;10;relu
109,1.3359746,Conv;34;10;relu
110,1.3459473,Conv;34;10;relu
111,1.3571802,Conv;34;10;relu
112,1.3683549,Conv;34;10;relu
113,1.3782108,Conv;34;10;relu
114,1.3866329,Conv;34;10;relu
115,1.3936212,Conv;34;10;relu
116,1.3996922,Conv;34;10;relu
117,1.4052808,Conv;34;10;relu
118,1.4116378,Conv;34;10;relu
119,1.4190736,Conv;34;10;relu
120,1.4271656,Conv;34;10;relu
121,1.4346195,Conv;34;10;relu
122,1.4397104,Conv;34;10;relu
123,1.4408821,Conv;34;10;relu
124,1.438153,Conv;34;10;relu
125,1.4322759,Conv;34;10;relu
126,1.4233253,Conv;34;10;relu
127,1.411665,Conv;34;10;relu
128,1.3990233,Conv;34;10;relu
129,1.3872734,Conv;34;10;relu
130,1.3778889,Conv;34;10;relu
131,1.370669,Conv;34;10;relu
132,1.3644391,Conv;34;10;relu
133,1.3583511,Conv;34;10;relu
134,1.3533231,Conv;34;10;relu
135,1.3501744,Conv;34;10;relu
136,1.3491701,Conv;34;10;relu
137,1.3492457,Conv;34;10;relu
138,1.3500236,Conv;34;10;relu
139,1.3511865,Conv;34;10;relu
140,1.3520248,Conv;34;10;relu
141,1.3518215,Conv;34;10;relu
142,1.3500893,Conv;34;10;relu
143,1.3474747,Conv;34;10;relu
144,1.3453377,Conv;34;10;relu
145,1.3447113,Conv;34;10;relu
146,1.3458191,Conv;34;10;relu
147,1.3487883,Conv;34;10;relu
148,1.3533298,Conv;34;10;relu
149,1.3591954,Conv;34;10;relu
150,1.3660461,Conv;34;10;relu
151,1.3730681,Conv;34;10;relu
152,1.379323,Conv;34;10;relu
153,1.384245,Conv;34;10;relu
154,1.3880987,Conv;34;10;relu
155,1.3912976,Conv;34;10;relu
156,1.3935566,Conv;34;10;relu
157,1.3958311,Conv;34;10;relu
158,1.4004272,Conv;34;10;relu
159,1.4077095,Conv;34;10;relu
160,1.4153707,Conv;34;10;relu
161,1.4205879,Conv;34;10;relu
162,1.4220554,Conv;34;10;relu
163,1.4203901,Conv;34;10;relu
164,1.4169395,Conv;34;10;relu
165,1.4124563,Conv;34;10;relu
166,1.4072561,Conv;34;10;relu
167,1.4020628,Conv;34;10;relu
168,1.3981645,Conv;34;10;relu
169,1.396157,Conv;34;10;relu
170,1.3964796,Conv;34;10;relu
171,1.3986915,Conv;34;10;relu
172,1.4018072,Conv;34;10;relu
173,1.404576,Conv;34;10;relu
174,1.4064758,Conv;34;10;relu
175,1.4065334,Conv;34;10;relu
176,1.4038994,Conv;34;10;relu
177,1.3984213,Conv;34;10;relu
178,1.3918147,Conv;34;10;relu
179,1.3855941,Conv;34;10;relu
180,1.3797216,Conv;34;10;relu
181,1.374789,Conv;34;10;relu
182,1.3718946,Conv;34;10;relu
183,1.3718303,Conv;34;10;relu
184,1.374894,Conv;34;10;relu
185,1.380124,Conv;34;10;relu
186,1.3852329,Conv;34;10;relu
187,1.3882514,Conv;34;10;relu
188,1.3900245,Conv;34;10;relu
189,1.392493,Conv;34;10;relu
190,1.3964183,Conv;34;10;relu
191,1.4012281,Conv;34;10;relu
192,1.4051496,Conv;34;10;relu
193,1.4066412,Conv;34;10;relu
194,1.4050369,Conv;34;10;relu
195,1.4010698,Conv;34;10;relu
196,1.3954786,Conv;34;10;relu
197,1.3884716,Conv;34;10;relu
198,1.3803008,Conv;34;10;relu
199,1.3724899,Conv;34;10;relu
200,1.3667611,Conv;34;10;relu
1,0.004898454,Conv;34;10;relu
2,0.0076790247,Conv;34;10;relu
3,0.010396038,Conv;34;10;relu
4,0.0133222,Conv;34;10;relu
5,0.016847836,Conv;34;10;relu
6,0.021075478,Conv;34;10;relu
7,0.02587361,Conv;34;10;relu
8,0.030829135,Conv;34;10;relu
9,0.03592406,Conv;34;10;relu
10,0.041110914,Conv;34;10;relu
11,0.04676176,Conv;34;10;relu
12,0.05303774,Conv;34;10;relu
13,0.059505165,Conv;34;10;relu
14,0.06655551,Conv;34;10;relu
15,0.07397122,Conv;34;10;relu
16,0.081332,Conv;34;10;relu
17,0.08834947,Conv;34;10;relu
18,0.09512311,Conv;34;10;relu
19,0.102070384,Conv;34;10;relu
20,0.10893151,Conv;34;10;relu
21,0.11622408,Conv;34;10;relu
22,0.124819584,Conv;34;10;relu
23,0.13516149,Conv;34;10;relu
24,0.14640161,Conv;34;10;relu
25,0.1576933,Conv;34;10;relu
26,0.16754699,Conv;34;10;relu
27,0.1756015,Conv;34;10;relu
28,0.18349996,Conv;34;10;relu
29,0.19267182,Conv;34;10;relu
30,0.20212461,Conv;34;10;relu
31,0.21255544,Conv;34;10;relu
32,0.22525084,Conv;34;10;relu
33,0.2401411,Conv;34;10;relu
34,0.25716564,Conv;34;10;relu
35,0.2755074,Conv;34;10;relu
36,0.29380134,Conv;34;10;relu
37,0.31131932,Conv;34;10;relu
38,0.32965666,Conv;34;10;relu
39,0.34812063,Conv;34;10;relu
40,0.3665467,Conv;34;10;relu
41,0.38526234,Conv;34;10;relu
42,0.40405124,Conv;34;10;relu
43,0.4216286,Conv;34;10;relu
44,0.4379379,Conv;34;10;relu
45,0.45437616,Conv;34;10;relu
46,0.4714344,Conv;34;10;relu
47,0.48894787,Conv;34;10;relu
48,0.506206,Conv;34;10;relu
49,0.5234502,Conv;34;10;relu
50,0.5418655,Conv;34;10;relu
51,0.5620754,Conv;34;10;relu
52,0.5845425,Conv;34;10;relu
53,0.6079617,Conv;34;10;relu
54,0.6295764,Conv;34;10;relu
55,0.6491805,Conv;34;10;relu
56,0.66901344,Conv;34;10;relu
57,0.6913204,Conv;34;10;relu
58,0.7167218,Conv;34;10;relu
59,0.74345946,Conv;34;10;relu
60,0.76864266,Conv;34;10;relu
61,0.78957486,Conv;34;10;relu
62,0.80587876,Conv;34;10;relu
63,0.81841683,Conv;34;10;relu
64,0.8296868,Conv;34;10;relu
65,0.84279644,Conv;34;10;relu
66,0.8589172,Conv;34;10;relu
67,0.8778462,Conv;34;10;relu
68,0.89826804,Conv;34;10;relu
69,0.9179864,Conv;34;10;relu
70,0.93621564,Conv;34;10;relu
71,0.9528481,Conv;34;10;relu
72,0.96787065,Conv;34;10;relu
73,0.98247445,Conv;34;10;relu
74,0.9973831,Conv;34;10;relu
